id,actionId,solicitanteId,tipoSolicitante,justificativa,camposAjustar,status,justificativaAdmin,createdAt,evaluatedAt,evaluatedBy,dadosAntesAjuste,dadosAposAjuste,approvedByLeaderAt,approvedByLeaderId
270001,630005,1350002,colaborador,Muda o prazo por favor.,"{""camposSelecionados"":[""Prazo""]}",reprovada,"De acordo com sua gestão, não pode alterar o prazo.",2026-01-30 16:25:36,2026-01-30 16:33:27,1,"{""titulo"":""Job Rotation de Curta Duração em Área Crítica"",""descricao"":""📌 O QUE FAZER:\r\nRealizar um Job Rotation (acompanhamento e participação ativa) de 3 dias úteis (aproximadamente 24 horas) em uma área da organização com a qual você interage frequentemente, mas cujos processos você não compreende totalmente (Ex: Financeiro, Logística, Marketing). O objetivo é mapear os principais gargalos e necessidades dessa área e identificar 3 pontos de melhoria na comunicação ou nos processos de interface entre o seu time e o time acompanhado. Agende reuniões de alinhamento prévias com os gestores envolvidos.\r\n\r\n💡 ESTA É UMA SUGESTÃO!\r\nVocê pode optar por uma ação similar (outro curso, workshop, livro, etc.) desde que desenvolva a competência de Integração Organizacional e Trabalho Interáreas.\r\n\r\n📎 EVIDÊNCIA ESPERADA:\r\nApresentação de um Relatório de Integração (máximo 1 página) detalhando:\r\n1. A área visitada e os principais processos observados.\r\n2. Os 3 pontos de melhoria propostos para otimizar a interface entre as áreas.\r\n3. Feedback formal do gestor da área visitada sobre a sua participação."",""prazo"":""2026-02-27T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL-Integração Organizacional e Trabalho Interáreas""}",,,
270002,630004,1350002,colaborador,"Não gostei dessa ação, posso fazer outra? ou excluir?","{""camposSelecionados"":[""Título"",""Descrição"",""Macro Competência""]}",aprovada,,2026-01-30 16:26:07,2026-01-30 16:33:08,1,"{""titulo"":""Projeto Prático: Liderando uma Iniciativa Interdepartamental"",""descricao"":""📌 O QUE FAZER:\r\nDesenvolva e lidere um projeto de melhoria ou inovação que exija a colaboração ativa de pelo menos dois departamentos diferentes do seu. O objetivo é praticar a comunicação eficaz, a negociação de prioridades e a gestão de expectativas com stakeholders diversos. O projeto deve ter uma duração mínima de 4 semanas. Recomenda-se iniciar com a leitura do artigo \""Como Construir Relacionamentos Interpessoais Fortes no Trabalho\"" (Harvard Business Review) para embasamento teórico.\r\n\r\n💡 ESTA É UMA SUGESTÃO!\r\nVocê pode optar por uma ação similar (outro curso, workshop, livro, etc.) desde que desenvolva a competência de COMPORTAMENTAL-Relacionamento Interpessoal.\r\n\r\n📎 EVIDÊNCIA ESPERADA:\r\nApresentação de um relatório final do projeto, incluindo:\r\n1. O escopo e os objetivos iniciais.\r\n2. Um registro das reuniões de alinhamento e negociação com os departamentos envolvidos.\r\n3. Um feedback formal (por e-mail ou documento) de pelo menos um membro de cada departamento parceiro sobre a qualidade da sua comunicação e colaboração durante o projeto."",""prazo"":""2026-04-30T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL-Relacionamento Interpessoal""}",,,
300001,900398,1290109,colaborador,Solicito alterar para 30/04/2025,"{""camposSelecionados"":[""Prazo""]}",aprovada,,2026-02-03 19:35:36,2026-02-06 21:32:31,1,"{""titulo"":""Visão Sistêmica com foco em Indicadores Estratégicos"",""descricao"":""Sugestão de desenvolvimento da Competência: Realizar o curso “Scrum no Contexto do Serviço Público” (OKRs e Metodologias Ágeis).Por que fazer: Para aumentar eficiência e adaptabilidade em projetos por meio de metodologias ágeis aplicadas ao setor público.Como fazer: Concluir curso EV.G; aplicar conhecimentos em projeto real do setor e registrar experiência.Onde fazer: Escola Virtual Gov + ambiente de trabalho.Como comprovar: Certificado + relatório com aplicação prática do Scrum."",""prazo"":""2026-01-16T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL-Estratégia, Visão Sistêmica e Indicadores""}",,,
330002,900351,1290042,colaborador,Gostaria de alterar o prazo para 30/04/2026.,"{""camposSelecionados"":[""Prazo""]}",aprovada,,2026-02-13 19:26:42,2026-02-18 19:43:41,1,"{""titulo"":""Desenvolvimento da Comunicação Relacional por Meio da Oratória"",""descricao"":""Detalhes da ação (Descrição da Ação)\n\nO que fazer: Desenvolver habilidades de comunicação relacional e oratória por meio da realização do curso “Oratória: Como Falar em Público”, oferecido pela Universidade Sebrae. \n\nComo fazer: Acessar a plataforma da Universidade Sebrae, concluir o curso proposto, gravar dois vídeos curtos simulando falas técnicas em contextos profissionais e elaborar um relatório de autoavaliação refletindo sobre clareza, postura, confiança e pontos de melhoria percebidos. \n\nOnde fazer: Plataforma UC Sebrae, com apoio de materiais complementares como o TED Talk de Julian Treasure e artigo disponível na Universidade Sebrae. \n\nComo comprovar: Certificado de conclusão do curso acompanhado dos vídeos gravados, do relatório crítico de autoavaliação e da validação do gestor quanto à aplicação e evolução percebida.\n\n"",""prazo"":""2026-03-31T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL - Comunicação""}",,,
330003,900350,1290042,colaborador,Gostaria de alterar o prazo de 30/03/2026 para 30/04/2026. Porque terei mais tempo disponível para realização do curso obtendo um melhor aprendizado.,"{""camposSelecionados"":[""Prazo""]}",aprovada,,2026-02-13 19:28:31,2026-02-18 19:43:55,1,"{""titulo"":""Legislação, Normas e Conformidade Jurídica"",""descricao"":""- Qual a sugestão do que se deve fazer: Concluir o Programa de Integridade – UC Sebrae. - \n\nPor que fazer: Porque é obrigatório para todos os colaboradores e essencial para fortalecer cultura de ética, responsabilidade e conformidade institucional. - \n\nComo se deve fazer: Acessar UC Sebrae; localizar curso “Programa de Integridade”; concluir módulos; refletir e registrar percepções principais. - \n\nOnde se pode fazer (quais as sugestões): Plataforma UC Sebrae (pesquisar “Programa de Integridade”). - \n\nComo comprovar que fez: Certificado de conclusão emitido pela plataforma."",""prazo"":""2026-03-31T00:00:00.000Z"",""competencia"":""TÉCNICA - Legislação, Normas e Conformidade Jurídica""}",,,
330004,900348,1290042,colaborador,Gostaria de alterar o prazo de 30/03/2026 para 30/04/2026. Porque terei mais tempo disponível para realização das ações obtendo um melhor aprendizado.,"{""camposSelecionados"":[""Prazo""]}",aprovada,,2026-02-13 19:29:26,2026-02-18 19:44:08,1,"{""titulo"":""Elaboração de Mapa de Conexões Estratégicas com Indicadores"",""descricao"":""Detalhes da ação (Descrição da Ação)\n\nO que fazer: Realizar estudo orientado para ampliar a visão sistêmica por meio da elaboração de um mapa de conexões estratégicas que relacione ações, objetivos e indicadores institucionais. \n\nComo fazer: Selecionar um programa prioritário da área, analisar o alinhamento desse programa com as metas institucionais, elaborar um mapa visual conectando ações às metas estratégicas, indicadores e impactos esperados, incluir legendas e explicações que facilitem a compreensão do mapa e redigir um relatório reflexivo consolidando os aprendizados obtidos durante o processo. \n\nOnde fazer: Ambiente de trabalho, utilizando materiais institucionais disponíveis, com apoio de conteúdos de referência como artigos da Universidade Sebrae, vídeos do YouTube, cursos na plataforma Degreed e livros disponíveis na Biblioteca Sebrae TO. \n\nComo comprovar: Entrega do mapa de conexões estratégicas elaborado, acompanhado de relatório explicativo e validação formal da liderança.\n"",""prazo"":""2026-03-31T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL - Estratégia, Visão Sistêmica e Indicadores""}",,,
330005,900346,1290042,colaborador,Gostaria de alterar o prazo de 30/03/2026 para 30/04/2026. Porque terei mais tempo disponível para realização das ações obtendo um melhor aprendizado.,"{""camposSelecionados"":[""Prazo""]}",aprovada,,2026-02-13 19:33:16,2026-02-18 19:44:20,1,"{""titulo"":""Projeto Piloto de Inovação com Aplicação Prática"",""descricao"":"" Detalhes da ação (Descrição da Ação)\nO que fazer: Desenvolver atitude inovadora por meio da criação e implementação de um projeto piloto de inovação aplicado a um desafio real da rotina de trabalho. \n\nComo fazer: Selecionar um desafio relevante do contexto da regional, estruturar uma proposta de melhoria, implementar o projeto piloto pelo período de trinta dias, registrar o problema identificado, a proposta desenvolvida, a metodologia utilizada e os resultados obtidos, e ao final refletir sobre os aprendizados gerados e os impactos observados. \n\nOnde fazer: Ambiente de trabalho, a partir de desafios reais da rotina da regional, com apoio de materiais de referência como o livro Inovação na Prática, artigos sobre design thinking no setor público disponíveis na Universidade Sebrae, além de vídeos e podcasts indicados. \n\nComo comprovar: Relatório contendo a descrição do problema, a proposta de inovação, a metodologia aplicada, os resultados alcançados e os aprendizados gerados, com validação formal da liderança.\n"",""prazo"":""2026-03-31T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL - Inovação, Criatividade e Visão de Futuro""}",,,
330006,900345,1290042,colaborador,Gostaria de alterar o prazo de 30/03/2026 para 30/05/2026. Porque terei mais tempo disponível para realização do curso obtendo um melhor aprendizado.,"{""camposSelecionados"":[""Prazo""]}",aprovada,,2026-02-13 19:34:07,2026-02-23 14:50:17,1,"{""titulo"":""Organização da Rotina com Foco em Planejamento e Resultados"",""descricao"":""Detalhes da ação (Descrição da Ação)\nO que fazer: Desenvolver competências de planejamento e organização pessoal por meio da realização do curso “Planejamento e Organização Pessoal”, oferecido pela Universidade Sebrae. \n\nComo fazer: Acessar a plataforma da Universidade Sebrae, concluir o curso proposto, selecionar e aplicar pelo menos uma técnica aprendida durante um período mínimo de duas semanas na rotina de trabalho, utilizando também materiais de apoio como artigos, vídeos ou podcasts indicados no curso. \n\nOnde fazer: Plataforma da Universidade Sebrae, disponível em https://www.uc.sebrae.com.br, com aplicação prática no ambiente de trabalho. \n\nComo comprovar: Certificado de conclusão do curso acompanhado de relato escrito contendo os principais aprendizados e o registro das aplicações realizadas na rotina, com validação da liderança.\n\n"",""prazo"":""2026-03-31T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL - Planejamento, Foco e Resultados""}",,,
330007,900344,1290042,colaborador,Gostaria de alterar o prazo de 30/03/2026 para 30/05/2026. Porque terei mais tempo disponível para realização do curso obtendo um melhor aprendizado.,"{""camposSelecionados"":[""Prazo""]}",aprovada,,2026-02-13 19:34:28,2026-02-23 14:52:26,1,"{""titulo"":""Aplicação dos Fundamentos de Gestão de Projetos na Rotina Administrativa"",""descricao"":""Detalhes da ação (Descrição da Ação)\nO que fazer: Desenvolver conhecimentos em gestão de projetos por meio da realização do curso “Fundamentos de Gestão de Projetos”, aplicando os conceitos aprendidos em um projeto real sob sua responsabilidade. \n\nComo fazer: Acessar a plataforma www.ev.org.br, concluir o curso proposto pela Fundação Bradesco, selecionar um projeto da rotina administrativa, reestruturar o plano do projeto utilizando os conceitos aprendidos e organizar as informações por meio de ferramenta como Canvas de Projeto ou modelo equivalente. \n\nOnde fazer: Plataforma EV.org.br, com apoio de materiais como o Modelo de Canvas de Projeto disponível na Universidade Sebrae. \n\nComo comprovar: Certificado de conclusão do curso acompanhado do plano de projeto elaborado ou reestruturado, apresentado em Canvas ou formato equivalente, com validação formal da liderança.\n"",""prazo"":""2026-03-31T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL - Gestão de Projetos e Processos""}",,,
330008,900343,1290042,colaborador,Gostaria de alterar o prazo de 30/03/2026 para 30/04/2026. Porque terei mais tempo disponível para realização do curso obtendo um melhor aprendizado.,"{""camposSelecionados"":[""Prazo""]}",aprovada,,2026-02-13 19:34:46,2026-02-18 19:44:35,1,"{""titulo"":""Comunicação Assertiva"",""descricao"":""- Qual a sugestão do que se deve fazer: Realizar o curso “Oratória: como falar em público” – Universidade Sebrae (ação principal). - Por que fazer: Para desenvolver clareza, firmeza e domínio da fala; perfil DISC sugere diplomacia, mas possível dificuldade de posicionamento assertivo; curso fortalece posicionamento técnico e segurança ao falar em público. - Como se deve fazer: Acessar UC Sebrae; concluir curso; após formação, gravar dois vídeos curtos simulando falas de alinhamento técnico ou institucional. - Onde se pode fazer (quais as sugestões): Plataforma UC Sebrae (https://uc.sebrae.com.br). - Como comprovar que fez: Certificado do curso + dois vídeos gravados + relatório com autoavaliação e validação da liderança."",""prazo"":""2026-03-31T00:00:00.000Z"",""competencia"":""COMPORTAMENTAL - Comunicação""}",,,
