id,entidadeTipo,entidadeId,entidadeNome,dadosExcluidos,excluidoPor,excluidoPorNome,motivoExclusao,createdAt
1,acao,600007,Condução de Processo de Mentoria com Gerente Interino,"{""id"":600007,""pdiId"":1020088,""macroId"":210011,""microcompetencia"":""Aprimorar a capacidade de influenciar, motivar e desenvolver equipes por meio da prática de mentoria."",""titulo"":""Condução de Processo de Mentoria com Gerente Interino"",""descricao"":""**O que fazer:** conduzir processo estruturado de mentoria com o gerente interino. **Como fazer:** estabelecer acordo de mentoria, realizar encontros mensais (aprox. 1h), definir objetivos, temas e plano de desenvolvimento, utilizar técnicas como escuta ativa, perguntas poderosas e análise de casos reais, e registrar o progresso ao longo do processo. **Onde fazer:** ambiente interno da organização, com encontros presenciais ou via plataforma Teams. **Evidência esperada:** relatório simples contendo datas dos encontros, temas abordados, principais aprendizados e validação da liderança."",""prazo"":""2026-03-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-30 01:09:01"",""updatedAt"":""2026-01-30 01:09:01""}",1,Julia,,2026-01-30 16:16:28
2,acao,600008,Tomada de Decisão Baseada em Dados,"{""id"":600008,""pdiId"":1020088,""macroId"":210007,""microcompetencia"":""Fortalecer a capacidade de tomar decisões estratégicas com base em dados e evidências."",""titulo"":""Tomada de Decisão Baseada em Dados"",""descricao"":""**O que fazer:** desenvolver e aplicar uma decisão estratégica fundamentada em dados. **Como fazer:** selecionar uma decisão real da área, coletar e analisar dados internos e externos, estruturar proposta com contexto, evidências, solução e impactos esperados, e apresentar a decisão de forma clara e fundamentada. **Onde fazer:** no contexto da atuação profissional, podendo utilizar cursos, conteúdos e materiais de apoio disponíveis (Universidade Sebrae, FGV, cursos on-line ou materiais técnicos). **Evidência esperada:** plano estratégico ou relatório de decisão baseado em dados e apresentação demonstrando como os dados sustentaram a decisão."",""prazo"":""2026-03-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-30 01:09:01"",""updatedAt"":""2026-01-30 01:09:01""}",1,Julia,,2026-01-30 16:16:30
3,acao,600001,Desenvolvimento da Comunicação Assertiva e Empática,"{""id"":600001,""pdiId"":1020028,""macroId"":210002,""microcompetencia"":""Desenvolver comunicação assertiva e empática com equipes internas e clientes."",""titulo"":""Desenvolvimento da Comunicação Assertiva e Empática"",""descricao"":""**O que fazer:** realizar curso de Comunicação Assertiva e Empática. **Como fazer:** participar do curso e aplicar as técnicas aprendidas em reuniões internas e atendimentos a clientes, com flexibilidade de formato. **Onde fazer:** Universidade Sebrae; na ausência, opções on-line e, não sendo encontradas, instituições regionais reconhecidas. **Evidência esperada:** certificado de conclusão e relato descritivo da aplicação prática."",""prazo"":""2026-05-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-30 00:54:58"",""updatedAt"":""2026-01-30 00:54:58""}",1,Julia,,2026-01-30 16:16:33
4,acao,600002,Mentoria para Desenvolvimento de Visão Estratégica de Mercado,"{""id"":600002,""pdiId"":1020028,""macroId"":210038,""microcompetencia"":""Ampliar a visão estratégica para identificação de oportunidades de mercado."",""titulo"":""Mentoria para Desenvolvimento de Visão Estratégica de Mercado"",""descricao"":""**O que fazer:** participar de mentoria em análise de oportunidades e visão estratégica. **Como fazer:** realizar sessões com discussão de casos reais e construção de estratégias aplicáveis, com flexibilidade de agenda. **Onde fazer:** prioritariamente em programas de mentoria do Sebrae; na ausência, outras iniciativas institucionais. **Evidência esperada:** relato estruturado das sessões e plano de aplicação apresentado à liderança."",""prazo"":""2026-03-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-30 00:54:58"",""updatedAt"":""2026-01-30 00:54:58""}",1,Julia,,2026-01-30 16:16:34
5,acao,600003,Levantamento e Análise da Percepção dos Clientes,"{""id"":600003,""pdiId"":1020028,""macroId"":210032,""microcompetencia"":""Analisar expectativas e percepção dos clientes sobre os serviços prestados."",""titulo"":""Levantamento e Análise da Percepção dos Clientes"",""descricao"":""**O que fazer:** realizar levantamento estruturado da percepção dos clientes. **Como fazer:** elaborar instrumento de escuta ativa, aplicar, consolidar e analisar os dados, com flexibilidade metodológica. **Onde fazer:** na própria regional, junto aos grupos de clientes atendidos pelo Sebrae. **Evidência esperada:** relatório analítico com metodologia, resultados, conclusões e sugestões de melhoria."",""prazo"":""2026-05-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-30 00:54:58"",""updatedAt"":""2026-01-30 00:54:58""}",1,Julia,,2026-01-30 16:16:36
6,acao,600004,Aprofundamento em Gestão Pública e Licitações,"{""id"":600004,""pdiId"":1020028,""macroId"":210031,""microcompetencia"":""Aplicar conhecimentos de gestão pública e processos licitatórios."",""titulo"":""Aprofundamento em Gestão Pública e Licitações"",""descricao"":""**O que fazer:** realizar curso de Gestão Pública e Licitações. **Como fazer:** participar do curso com foco nos aspectos legais e processuais aplicáveis à atuação institucional, com flexibilidade de formato. **Onde fazer:** Universidade Sebrae; na ausência, opções on-line e, não sendo encontradas, instituições regionais reconhecidas. **Evidência esperada:** certificado de conclusão e resumo aplicado ao contexto da regional."",""prazo"":""2026-05-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-30 00:54:58"",""updatedAt"":""2026-01-30 00:54:58""}",1,Julia,,2026-01-30 16:16:38
7,acao,600005,Treinamento em Abordagem e Qualificação Consultiva,"{""id"":600005,""pdiId"":1020028,""macroId"":210032,""microcompetencia"":""Aprimorar a abordagem e qualificação consultiva de clientes."",""titulo"":""Treinamento em Abordagem e Qualificação Consultiva"",""descricao"":""**O que fazer:** participar de treinamento em vendas consultivas (abordagem e qualificação). **Como fazer:** realizar o treinamento e aplicar ao menos uma técnica em atendimento real, com flexibilidade de agenda. **Onde fazer:** Universidade Sebrae; na ausência, opções on-line e, não sendo encontradas, instituições regionais especializadas. **Evidência esperada:** certificado ou lista de presença e relato da aplicação prática validado pela liderança."",""prazo"":""2026-05-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-30 00:54:58"",""updatedAt"":""2026-01-30 00:54:58""}",1,Julia,,2026-01-30 16:16:40
8,acao,600006,Treinamento em Follow-up e Fechamento Consultivo,"{""id"":600006,""pdiId"":1020028,""macroId"":210032,""microcompetencia"":""Aprimorar técnicas de follow-up e fechamento consultivo."",""titulo"":""Treinamento em Follow-up e Fechamento Consultivo"",""descricao"":""**O que fazer:** participar de treinamento em follow-up e fechamento consultivo. **Como fazer:** aplicar as técnicas aprendidas em atendimentos reais, registrando os resultados, com flexibilidade de formato. **Onde fazer:** Universidade Sebrae; na ausência, opções on-line e, não sendo encontradas, instituições regionais especializadas. **Evidência esperada:** certificado ou lista de presença e relato da aplicação prática validado pela liderança."",""prazo"":""2026-05-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-30 00:54:58"",""updatedAt"":""2026-01-30 00:54:58""}",1,Julia,,2026-01-30 16:16:42
30001,acao,840098,Fortalecer a comunicação estratégica institucional com base em tendências e boas práticas,"{""id"":840098,""pdiId"":1020066,""macroId"":210002,""microcompetencia"":""Competência Comportamental: Comunicação"",""titulo"":""Fortalecer a comunicação estratégica institucional com base em tendências e boas práticas"",""descricao"":""Plano de Desenvolvimento Individual (PDI)\nO que fazer: Fortalecer a comunicação estratégica institucional com base em tendências e boas práticas de mercado.\n\nComo fazer:\n\nOrientação Geral: Esta ação visa ampliar sua visão estratégica sobre comunicação organizacional e tendências do setor.\n\nMetodologia: Participar do evento CIB (Comunicação Interna Brasil). A imersão permitirá o contato direto com especialistas, o benchmarking de experiências reais de grandes empresas e o acesso a ferramentas aplicáveis ao contexto institucional.\n\nJustificativa: A comunicação interna é um pilar fundamental para o engajamento dos colaboradores e o fortalecimento da cultura organizacional. A atualização constante garante maior assertividade e inovação nas ações institucionais.\n\nOnde fazer: Universidade Sebrae / Plataformas online (CIB).\n\nEvidência esperada: Certificado de conclusão do evento ou relatório de aplicação prática contendo os principais insights e propostas de implementação para a área."",""prazo"":""2026-02-28T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-02-01 18:41:54""}",1,Equipe CKM Talents,,2026-02-01 21:15:57
30002,acao,840097,Criar relatório de resultados de campanha com análise de engajamento e indicadores - curto prazo,"{""id"":840097,""pdiId"":1020066,""macroId"":210002,""microcompetencia"":""Competência Comportamental: Comunicação"",""titulo"":""Criar relatório de resultados de campanha com análise de engajamento e indicadores - curto prazo"",""descricao"":""O que fazer: Desenvolver relatório de resultados de campanhas com análise detalhada de engajamento e indicadores de desempenho (KPIs).\n\nComo fazer:\n\nAção 01: Elaborar um relatório técnico de resultados focado em métricas de comunicação.\n\nJustificativa: A mensuração precisa é essencial para validar a eficácia das ações da área. Esta atividade desenvolve a visão analítica e fornece dados concretos para embasar decisões estratégicas e otimizar investimentos futuros.\n\nPasso a Passo:\n\nSeleção: Escolher uma campanha de comunicação institucional realizada recentemente.\n\nColeta de Dados: Levantar métricas relevantes, como alcance total, taxa de abertura, taxa de cliques (CTR), interações e feedbacks qualitativos.\n\nAnálise: Construir um relatório comparativo que apresente os pontos fortes, gargalos e sugestões de melhoria para as próximas ações.\n\nOnde fazer: Ambiente de trabalho / Universidade Sebrae / Plataformas de monitoramento online.\n\nEvidência esperada: Relatório de aplicação prática (dashboard ou documento de análise) contendo os indicadores levantados e as recomendações estratégicas."",""prazo"":""2026-01-08T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-02-01 18:44:43""}",1,Equipe CKM Talents,,2026-02-01 21:16:22
