id,actionId,colaboradorId,status,justificativaAdmin,createdAt,evaluatedAt,evaluatedBy,satisfactionScore,descricao,arquivo,respostaColaborador,dataResposta,tipoEvidencia,data_realizacao,cargaHoraria,oQueRealizou,comoAplicou,resultadoPratico,impactoPercentual,principalAprendizado,linkExterno,evidenciaComprova,impactoComprova,impactoValidadoAdmin,parecerImpacto
690001,900551,1320006,aprovada,,2026-02-05 14:55:18,2026-02-06 20:25:32,1,,Certificado Curso Comunicação Empresarial,,,,,,,,,,,,,,,,
690002,900557,1320006,aprovada,,2026-02-05 15:10:26,2026-02-06 20:24:45,1,,"Curso - Ética, Integridade e Compliance",,,,,,,,,,,,,,,,
720001,900551,1320006,reprovada,"Boa tarde Elienilson, não recebemos este certificado, favor reenviar para relacionamento@ckmtalents.net com a ação ""Aprimoramento da Comunicação Empresarial Escrita"" no título ",2026-02-06 20:27:16,2026-02-06 20:28:30,1,,Certificado,,,,,,,,,,,,,,,,
780001,1140032,1500001,aprovada,,2026-02-12 15:35:51,2026-02-12 15:41:56,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
780002,1140031,1500001,reprovada,Não recebida.,2026-02-12 15:36:19,2026-02-18 19:32:26,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
780003,1140029,1500001,aprovada,,2026-02-12 15:36:27,2026-02-12 15:39:13,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
780004,1140030,1500001,reprovada,Não recebida.,2026-02-12 15:36:40,2026-02-18 19:32:32,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
780005,1140028,1500001,aprovada,,2026-02-12 15:36:49,2026-02-12 15:40:21,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
780006,1140027,1500001,aprovada,,2026-02-12 15:36:59,2026-02-12 15:38:39,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
780007,1140026,1500001,aprovada,,2026-02-12 15:37:07,2026-02-12 15:38:50,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
